Tax Rate,Tax Bracket,Start Range,End Range
0.1,10%,0,9875
0.12,12%,9876,40125
0.22,22%,40126,85525
0.24,24%,85526,163300
0.32,32%,163301,207350
0.35,35%,207351,518400
0.37,37%,518401,999999
